	Stk_601899	Stk_601857	Stk_601766	Stk_601699	Stk_601628	Stk_601601	Stk_601398	Stk_601328	Stk_601169	Stk_601166	Stk_601088	Stk_601006	Stk_600887	Stk_600837	Stk_600585	Stk_600549	Stk_600519	Stk_600518	Stk_600489	Stk_600383	Stk_600362	Stk_600256	Stk_600111	Stk_600050	Stk_600048	Stk_600036	Stk_600031	Stk_600030	Stk_600028	Stk_600018	Stk_600016	Stk_600015	Stk_600000
2009/2/27	8.289885	11.015485	4.43	27.325036	20.88662	13.796461	3.835654	5.576519	10.414313	18.814054	18.914237	8.588007	116.305121	212.450424	37.514016	86.580728	553.001252	91.815142	67.640857	38.985821	20.994919	68.86963	54.339536	7.27113	70.876283	35.12612575	178.105034	61.395004	12.338542	3.916145	50.832392	16.138494	51.611873
2009/3/2	8.785256	10.944022	4.46	27.270093	20.733642	13.81678	3.804805	5.566154	10.283125	18.457534	18.904197	8.598417	122.641604	212.261411	40.333814	84.084578	546.464042	96.100456	72.108727	41.315651	20.994919	68.681633	55.389372	7.228359	74.901958	35.768341	186.714604	61.481192	12.174822	3.905894	50.507238	16.068555	51.147424
2009/3/3	8.320213	10.780679	4.39	26.537518	20.172722	13.288491	3.753388	5.462501	10.182212	17.897289	18.5227	8.49432	119.575564	205.834974	40.571771	84.298534	536.611533	99.929886	67.708552	42.040487	20.628728	71.125596	54.801464	7.100045	74.332671	34.373816	190.975906	60.561847	11.832499	3.834132	49.748545	16.173464	49.173517
2009/3/4	8.67405	11.250291	4.59	29.193102	21.773894	14.619372	3.938487	5.763094	10.928974	19.527093	19.556759	9.046034	123.86802	226.24836	43.27259	92.072256	582.838945	102.574016	68.195956	46.234181	22.690245	76.702845	60.302607	7.484987	80.960803	37.162866	206.107877	65.991728	12.517146	4.039166	53.216854	17.519795	54.079257
2009/3/5	8.967229	11.270709	4.55	30.255335	21.7331	14.771763	4.01047	5.856382	11.181259	19.86324	19.386089	9.025215	121.006383	231.918745	42.868062	91.786982	569.671137	100.476948	68.832289	46.803695	23.517564	77.642831	62.990188	7.656072	82.871982	38.386134	202.020505	65.962999	12.740401	4.203193	54.083931	17.974401	55.704828
2009/3/6	9.007667	11.056321	4.45	30.310278	21.110988	14.375546	3.907637	5.711268	11.161076	20.107711	19.215419	8.806611	120.904182	238.91222	41.321338	89.504788	552.02067	101.388717	69.752941	47.683853	23.775253	78.39482	63.62009	7.499244	82.912645	38.606322	197.324376	65.90554	12.680866	4.254451	52.8917	17.554765	56.401501
2009/3/9	8.74229	10.811306	4.38	30.841395	20.499076	13.826939	3.804805	5.638711	10.797786	19.618769	18.603015	8.588007	118.655752	223.980206	38.680008	82.943481	536.518144	97.923994	65.190297	46.648373	21.8358	72.754905	58.622869	7.185588	83.237952	36.698025	183.931713	61.050249	12.130171	3.998159	51.807853	16.820402	53.788977
2009/3/10	8.653831	11.015485	4.41	31.738799	21.212974	14.324749	3.825371	5.649076	10.868426	20.117897	19.36601	8.806611	117.73594	235.509989	39.881694	86.723365	551.600421	101.29754	64.526886	46.907243	22.635994	74.446879	63.662084	7.285387	81.7537385	36.453371	188.193015	62.745292	12.36831	4.100676	52.241392	16.942796	54.950099
2009/3/11	8.603283	10.913395	4.35	31.903628	20.876422	14.121561	3.804805	5.61798	10.757421	20.240132	19.03471	8.671285	115.998517	231.54072	39.417677	85.011719	548.565288	107.224039	64.851822	45.198701	22.839433	78.83348	64.375973	7.214102	80.269525	35.694945	189.497495	62.716562	12.219473	4.028914	51.591084	16.540645	53.963145
2009/3/12	8.350542	10.841932	4.3	30.951281	21.110988	14.324749	3.784238	5.576519	10.727147	20.168828	18.894158	8.723333	114.158893	229.083553	39.477166	92.357531	541.374357	106.5858	63.958248	46.648373	22.608869	77.454834	70.800972	7.214102	82.587338	35.058846	191.323767	62.25689	12.159939	3.998159	50.940776	16.138494	53.063276
2009/3/13	8.239336	10.831723	4.25	30.804766	21.355754	14.639691	3.784238	5.742364	10.807878	20.148456	18.904197	8.608827	117.633739	221.52304	40.440895	89.861381	531.475154	105.4005	63.904092	44.732735	22.378305	75.637528	70.800972	7.199845	81.733407	34.814193	190.193218	61.193897	12.115288	3.998159	50.398853	16.0161	52.802023
