time,close
4/22/2011,15.68
4/25/2011,15.29
4/26/2011,15.01
4/27/2011,14.79
4/28/2011,14.7
4/29/2011,14.81
5/3/2011,15.25
5/4/2011,14.93
5/5/2011,15.03
5/6/2011,15.08
5/9/2011,14.98
5/10/2011,15.03
5/11/2011,15.24
5/12/2011,14.82
5/13/2011,16.3
5/16/2011,16.54
5/17/2011,16.38
5/18/2011,16.59
5/19/2011,16.34
5/20/2011,16
5/23/2011,15.11
5/24/2011,14.68
5/25/2011,14.74
5/26/2011,14.55
5/27/2011,14.55
5/30/2011,13.1
5/31/2011,13.42
6/1/2011,13.51
6/2/2011,14.01
6/3/2011,14.04
6/7/2011,14.09
6/8/2011,14.2
6/9/2011,13.64
6/10/2011,13.57
6/13/2011,13.56
6/14/2011,13.93
6/15/2011,14.07
6/16/2011,13.55
6/17/2011,13.25
6/20/2011,13.04
6/21/2011,13.2
6/22/2011,13.35
6/23/2011,14.03
6/24/2011,14.15
6/27/2011,14.22
6/28/2011,14.08
6/29/2011,13.88
6/30/2011,14.21
7/1/2011,14.15
7/4/2011,14.54
7/5/2011,14.59
7/6/2011,14.5
7/7/2011,14.62
7/8/2011,14.56
7/11/2011,14.15
7/12/2011,13.76
7/13/2011,14.04
7/14/2011,14.21
7/15/2011,14.3
7/18/2011,14.3
7/19/2011,14.48
7/20/2011,14.4
7/21/2011,14.09
7/22/2011,14.51
7/25/2011,13.57
7/26/2011,13.52
7/27/2011,13.61
7/28/2011,13.43
7/29/2011,13.29
8/1/2011,13.45
8/2/2011,13.35
8/3/2011,13.35
8/4/2011,13.42
8/5/2011,12.98
8/8/2011,11.75
8/9/2011,11.4
8/10/2011,11.4
8/11/2011,11.44
8/12/2011,11.58
8/15/2011,11.8
8/16/2011,11.97
8/17/2011,11.7
8/18/2011,11.49
8/19/2011,11.23
8/22/2011,11.25
8/23/2011,11.61
8/24/2011,11.72
8/25/2011,11.95
8/26/2011,11.9
8/29/2011,12.31
8/30/2011,12.05
8/31/2011,12.03
9/1/2011,11.81
9/2/2011,11.45
9/5/2011,10.91
9/6/2011,10.76
9/7/2011,11.09
9/8/2011,10.92
9/9/2011,10.9
9/13/2011,11
9/14/2011,11.15
9/15/2011,11.18
9/16/2011,11.18
9/19/2011,10.95
9/20/2011,11.03
9/21/2011,11.44
