STATE,REGION,POPULATI,URBAN,MOBILITY,LT18,GT65,DENSITY,PCTWHITE,PCTBLACK,PCTNAM,PCTASIAN,PCTHISP,IMMIG,MARRIAGE,DIVORCES,FEMHEAD,BRATE,LOWBWT,PRISONER,HOMELESS,DRATE,SUICIDES,TEENMOM,INFMORT,BEER,AIDS,ABORTION,DOCTORS,POVERTY,MDFAMINC,UNEMPLY,DROPOUT,HSGRAD,COLLGRAD,HOMICIDE,RAPE,ROBBERY,ASSAULT,BURGLARY,LARCENY,CARTHEFT,BUSH00,GORE00,NADER00,TURNOUT
MINNESOTA     ,Midwest,4.919998169,66.19995117,69.89990234,26.15911865,12.07983398,61.79992676,89.39990234,3.5,1.099998474,2.899993896,2.899993896,17.59997559,6.899993896,2.799995422,8.811309814,14,6.099990845,0.349999428,0.059999943,7.878997803,9.699981689,8.299987793,6.199996948,32.19995117,3.799995422,13.93609619,256.9003906,7.899993896,57847,3.299995422,10,90.79980469,31.19995117,3.099998474,45.5,75.5,156.699707,530.8984375,2403.695313,273,45.5,47.89990234,5.199996948,69.79980469
MISSISSIPPI   ,South,2.839996338,45.89990234,74.29980469,27.25061035,12.0760498,60.59997559,61.39990234,36.29992676,0.399999619,0.699998856,1.399997711,3.799995422,7.899993896,5.5,17.71618652,15.79998779,10.69998169,0.909999847,0.019999981,10.12197876,12,18.79998779,10.09997559,36.39990234,8.5,7.184570313,164.4375,15.5,39266,5.699996948,24.09997559,80.29980469,18.69995117,9,35.79992676,95,221.0996094,946.2988281,2452.195313,245,57.59997559,40.69995117,0.799999237,60.59997559
MISSOURI      ,Midwest,5.599990845,63.39990234,66.19995117,25.51629639,13.50042725,81.19995117,84.89990234,11.19998169,0.399999619,1.099998474,2.099998474,10.79998779,8.299987793,4.5,12.03982544,13.8999939,7.599990845,0.629999161,0.039999962,10.13299561,12.79998779,13.09997559,7.799987793,33.69995117,6,9.104003906,229.3007813,9.799987793,45633,3.5,17.5,86.59985352,26.19995117,6.199996948,24.09997559,135.7998047,323.8994141,745,2851.296875,441.3994141,50.39990234,47.09997559,1.599998474,66.69995117
MONTANA       ,West,0.899999619,46,56.79992676,25.50024414,13.40606689,6.199996948,90.59985352,0.299999237,6.199996948,0.5,2,5.5,7.5,2.899993896,8.999450684,12.29998779,6.199996948,0.459999084,0.049999952,8.984985352,17.89996338,11.59997559,6.699996948,39,NA,15.62390137,200.8505859,16,41132,4.899993896,13,89.59985352,23.79998779,1.799999237,33.39990234,27.59997559,177.8999023,437.3994141,2638.59375,216.7998047,58.39990234,33.39990234,6,62.89990234
NEBRASKA      ,Midwest,1.709999084,66.5,67.39990234,26.31048584,13.56860352,22.29998779,89.59985352,4,0.899999619,1.299999237,5.5,13,7.699996948,3.799995422,9.063049316,14.79998779,6.799987793,0.349999428,0.049999952,9.137969971,12.29998779,10.19998169,6.799987793,35.39990234,3.699996948,12.28994751,222.7636719,10.69998169,46425,3,10.19998169,90.39990234,24.59997559,3.699996948,25.5,67,231.3999023,592,2870.296875,305.5996094,62.29992676,33.29992676,3.5,60.29992676
NEVADA        ,West,2,93.79980469,24,25.61224365,10.95599365,18.19995117,75.19995117,6.799987793,1.299999237,4.5,19.69995117,39.19995117,88,8.299987793,12.35671997,16.39996338,7.199996948,0.799999237,0.079999924,8.299987793,22.69995117,12.69998169,6.599990845,49.09997559,8.799987793,44.64086914,172.3857422,10.09997559,48865,4.099990845,16.09997559,82.79980469,19.29998779,6.5,43,227.2998047,247.2998047,877.0996094,2208.195313,659.1992188,49.5,46,2.5,52.09997559
NEW HAMPSHIRE ,Northeast,1.239997864,48.59997559,43.5,25.04980469,11.97375488,137.7998047,96,0.699998856,0.199999809,1.299999237,1.699996948,16.19995117,8.099975586,5.799987793,9.689147949,12,6.299987793,0.279999733,0.039999962,8.058990479,13,6.799987793,5.799987793,44,3.599998474,12.73434448,237.5224609,7.599990845,58470,2.799995422,11.69998169,88.09985352,30.09997559,1.799999237,42.19995117,36.69995117,94.69995117,404,1680,173.7998047,48.19995117,46.89990234,3.899993896,66.59985352
NEW JERSEY    ,Northeast,8.409973145,87.29980469,52.89990234,24.80944824,13.22900391,1134.199219,72.59985352,13.59997559,0.199999809,5.699996948,13.29998779,47.59997559,8.099975586,3.099998474,11.90945435,14.09997559,7.699996948,0.569999695,0.069999933,8.764984131,7.199996948,7.099990845,6.699996948,25,22,35.80224609,298.0302734,8.099975586,65182,3.799995422,15.79998779,87.29980469,30.09997559,3.399993896,16.09997559,161.0996094,203.199707,522,1848.796875,405.8994141,40.29992676,56.09997559,3,61.79992676
NEW MEXICO    ,West,1.819999695,58,51.29992676,27.95825195,11.66680908,15,66.79980469,1.899997711,9.5,1.099998474,42.09997559,21.79998779,8.299987793,4.699996948,13.70654297,15.59997559,8,0.599998474,0.049999952,7.722000122,17.09997559,17.39996338,6.899993896,40.29992676,5,14.39416504,210.2910156,19.29998779,38779,4.899993896,20.19995117,82.19995117,23.59997559,7.399993896,50.69995117,137.3999023,562.3984375,1173.097656,3184.398438,403.5996094,47.89990234,47.89990234,3.599998474,54.39990234
NEW YORK      ,Northeast,18.97998047,82.59985352,65.59985352,24.71539307,12.90203857,401.7998047,67.89990234,15.8999939,0.399999619,5.5,15.09997559,55.89990234,7.5,3.399993896,14.89208984,14.19998169,7.699996948,0.569999695,0.169999599,8.611999512,7.5,8.199981689,6.399993896,24.19995117,31.29998779,41.0793457,380.1132813,14.69998169,52280,4.599990845,18.5,82.5,28.69995117,5,18.59997559,213.5996094,316.6992188,463.3994141,1796.398438,285.7998047,35.19995117,60.19995117,3.599998474,59
